player_id,national_team_name,national_team_id,full name,born,age,batting style,playing role,2024_neg_batting_clutch_metric,2024_matches_played,2024_pos_batting_clutch_metric,2023_pos_batting_clutch_metric,2023_matches_played,2023_neg_batting_clutch_metric,2022_neg_batting_clutch_metric,2022_matches_played,2022_pos_batting_clutch_metric,2021_neg_batting_clutch_metric,2021_matches_played,2020_neg_batting_clutch_metric,2020_matches_played,2020_pos_batting_clutch_metric,2019_neg_batting_clutch_metric,2019_matches_played,2019_pos_batting_clutch_metric,fielding position,2016_neg_batting_clutch_metric,2016_matches_played,2016_pos_batting_clutch_metric,2015_pos_batting_clutch_metric,2015_matches_played,2015_neg_batting_clutch_metric,2014_neg_batting_clutch_metric,2014_matches_played,2013_neg_batting_clutch_metric,2013_matches_played,2013_pos_batting_clutch_metric,2012_pos_batting_clutch_metric,2012_matches_played,2012_neg_batting_clutch_metric,2011_pos_batting_clutch_metric,2011_matches_played,2011_neg_batting_clutch_metric,bowling style,2021_pos_batting_clutch_metric,2018_pos_batting_clutch_metric,2018_matches_played,2018_neg_batting_clutch_metric,2024_neg_bowling_clutch_metric,2023_neg_bowling_clutch_metric,2022_neg_bowling_clutch_metric,2022_pos_bowling_clutch_metric,2020_neg_bowling_clutch_metric,2020_pos_bowling_clutch_metric,2018_pos_bowling_clutch_metric,2018_neg_bowling_clutch_metric,2017_neg_batting_clutch_metric,2017_matches_played,2017_pos_batting_clutch_metric,2017_pos_bowling_clutch_metric,2024_pos_bowling_clutch_metric,2023_pos_bowling_clutch_metric,2021_neg_bowling_clutch_metric,2021_pos_bowling_clutch_metric,2016_pos_bowling_clutch_metric,2016_neg_bowling_clutch_metric,2015_neg_bowling_clutch_metric,2015_pos_bowling_clutch_metric,2014_pos_batting_clutch_metric,2014_pos_bowling_clutch_metric,2014_neg_bowling_clutch_metric,2013_pos_bowling_clutch_metric,2012_pos_bowling_clutch_metric,2012_neg_bowling_clutch_metric,2011_neg_bowling_clutch_metric,2011_pos_bowling_clutch_metric,2019_pos_bowling_clutch_metric,education,also known as,nicknames,height,2017_neg_bowling_clutch_metric,2019_neg_bowling_clutch_metric,2009_neg_batting_clutch_metric,2009_matches_played,2009_neg_bowling_clutch_metric,2009_pos_bowling_clutch_metric,2010_pos_batting_clutch_metric,2010_matches_played,2013_neg_bowling_clutch_metric,2010_neg_batting_clutch_metric,2010_neg_bowling_clutch_metric,2010_pos_bowling_clutch_metric,2008_pos_batting_clutch_metric,2008_matches_played,2008_pos_bowling_clutch_metric,2008_neg_bowling_clutch_metric,2008_neg_batting_clutch_metric,2009_pos_batting_clutch_metric,2007_neg_batting_clutch_metric,2007_matches_played,2007_neg_bowling_clutch_metric,2007_pos_batting_clutch_metric,2007_pos_bowling_clutch_metric,other,died
670035,west,4,brandon alexander king,"december 16, 1994, kingston, jamaica",29y 187d,right hand bat,top order batter,-48.51470367,10,505.677721,701.316028,13,-121.7408597,-173.5383496,17,301.907971,-35.1615448,3,-36.16521739,4,108.877682,-67.71202993,5,41.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333066,west,4,johnson charles,"january 14, 1989, st lucia",35y 158d,right hand bat,wicketkeeper batter,-47.56238274,11,310.139647,293.131878,7,-47.39507012,-35.78394122,4,66.99105,,,,,,,,,wicketkeeper,-33.31474543,10,282.341038,66.1446,2,-9.32,-51.40163328,3,-32.66666667,5,192.65187,372.60773,10,-48.90646734,21.21575,2,-3.302132085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604302,west,4,nicholas pooran,"october 02, 1995, trinidad",28y 262d,left hand bat,wicketkeeper batter,-66.94510672,9,310.038005,772.950073,13,-107.4597036,-190.0349394,22,358.494845,-150.8609404,20,-55.18769672,5,58.50264,-95.24362807,8,39.49627,wicketkeeper,-24.45672528,3,,,,,,,,,,,,,,,,right arm offbreak,435.893773,151.24686,5,-31.23451699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820351,west,4,rovman powell,"july 23, 1993, jamaica",30y 333d,right hand bat,middle order batter,-49.20880913,11,301.026195,874.710952,15,-93.53084544,-178.8435926,23,440.326585,-50.22291613,4,-52.26254539,5,27.89787,-36.40919967,3,,,,,,,,,,,,,,,,,,,,right arm medium fast,43.2306,167.439092,13,-74.19681742,-13.31832254,-11.44777565,-11.11111111,0.123076923,-4.285714286,0.340474812,0.153649168,-15.61969151,-32.09117665,6,130.61592,0.321217244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276298,west,4,andre dwayne russell,"april 29, 1988, jamaica",36y 52d,right hand bat,allrounder,-76.04299645,18,486.852255,219.429744,10,-25.41852227,,,,-89.22847534,29,,4,177.694447,,,,,-9.872306913,14,329.660164,271.65144,8,-5.316666667,-105.6167542,25,,5,119.92117,160.85705,7,-16.41848034,42.45575,9,-17.15212834,right arm fast,455.156156,134.348192,8,-15.59858623,-12.69615745,-4.304532967,,,,0.372330663,0.617960691,-12.11976029,,,,,1.387117656,1.070604255,-39.07210156,1.805909281,2.161784923,-2.577030812,-7.132243685,0.474822335,192.05904,1.416367934,-58.3115085,0.370615603,0.325135926,-3.358778626,-24.32888485,0.250320102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914541,west,4,sherfane eviston rutherford,15-Aug-98,25y 310d,left hand bat,middle order batter,-73.9454371,9,351.98676,51.56622,4,-24.1526703,,,,,,-13.6,2,,-10.28859842,3,61.541,,,,,,,,,,,,,,,,,,,right arm fast medium,,32.82826,1,,,-7.371794872,,,,0.325736236,,,,,,,,,,,,,,,,,,,,,,,0.086956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677077,west,4,romario shepherd,"november 26, 1994, guyana",29y 207d,right hand bat,bowling allrounder,-65.28256482,15,321.44875,250.13531,17,-68.36554823,-34.89156946,20,195.25005,-5.985435741,6,,1,,,,,,,,,,,,,,,,,,,,,,,right arm fast medium,,,,,-13.35454535,-11.66982694,-37.97667868,1.557432288,,0.24735051,,,,,,,1.752884052,2.078892254,-26.3375448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530812,west,4,akeal jerome hosein,"april 25, 1993, port-of-spain",31y 56d,left hand bat,bowler,-46.42840365,18,106.029715,105.49783,16,-12.86634432,-52.48474598,26,114.570435,-53.00593849,16,,,,,,,,,,,,,,,,,,,,,,,,,slow left arm orthodox,,,,,-28.28462155,-17.29018687,-39.30571696,2.459202205,,,,,,,,,3.75441498,2.548457521,-41.05270257,0.387978142,,,,,,,,,,,,,,success laventille composite school,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670031,west,4,alzarri shaheim joseph,"november 20, 1996, antigua",27y 213d,right hand bat,bowler,-22.66080179,12,67.11705,219.33784,11,,-39.07673846,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,right arm fast,,,,,-11.51347318,-5.499482402,-18.85443036,1.139889929,,,,,,,,,2.558067069,2.444752242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670045,west,4,gudakesh motie,"march 29, 1995, georgetown, guyana",29y 83d,left hand bat,bowler,,13,142.6595,,5,-12.38,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,slow left arm orthodox,,,,,-25.99502687,-5.746336996,,,,,,,,,,,3.647880249,1.345708216,-2.775119617,,,,,,,,,,,,,,,,motie-kanhai,,,,,,,,,,,,,,,,,,,,,,,,,,,
